Health Authority,Facility Name,Location City,Latitude,Longitude,Beds,Beds Raw,Beds Source URL,Hospital Page URL
Fraser Health,Abbotsford Regional Hospital and Cancer Centre,Abbotsford,49.03917,-122.31083,300.0,300,https://en.wikipedia.org/wiki/Abbotsford_Regional_Hospital_and_Cancer_Centre,https://en.wikipedia.org/wiki/Abbotsford_Regional_Hospital_and_Cancer_Centre
Fraser Health,Burnaby General Hospital,Burnaby,49.24944,-123.015,297.0,297,https://en.wikipedia.org/wiki/Burnaby_General_Hospital,https://en.wikipedia.org/wiki/Burnaby_General_Hospital
Fraser Health,Chilliwack General Hospital,Chilliwack,49.16639,-121.96278,169.0,169,https://en.wikipedia.org/wiki/Chilliwack_General_Hospital,https://en.wikipedia.org/wiki/Chilliwack_General_Hospital
Fraser Health,Delta Hospital,Delta,49.08556,-123.06111,64.0,64 [ 1 ],https://en.wikipedia.org/wiki/Delta_Hospital,https://en.wikipedia.org/wiki/Delta_Hospital
Fraser Health,Eagle Ridge Hospital,Port Moody,49.285,-122.82333,106.0,106,https://en.wikipedia.org/wiki/Eagle_Ridge_Hospital,https://en.wikipedia.org/wiki/Eagle_Ridge_Hospital
Fraser Health,Fraser Canyon Hospital,Hope,49.37611,-121.42333,10.0,10,https://en.wikipedia.org/wiki/Fraser_Canyon_Hospital,https://en.wikipedia.org/wiki/Fraser_Canyon_Hospital
Fraser Health,Jim Pattison Outpatient Care and Surgery Centre,Surrey,49.17944,-122.83306,,,,https://en.wikipedia.org/w/index.php?title=Jim_Pattison_Outpatient_Care_and_Surgery_Centre&action=edit&redlink=1
Fraser Health,Langley Memorial Hospital,Langley,49.09361,-122.61194,188.0,188,https://en.wikipedia.org/wiki/Langley_Memorial_Hospital,https://en.wikipedia.org/wiki/Langley_Memorial_Hospital
Fraser Health,Mission Memorial Hospital,Mission,49.135,-122.33083,,,,https://en.wikipedia.org/w/index.php?title=Mission_Memorial_Hospital&action=edit&redlink=1
Fraser Health,Peace Arch Hospital,White Rock,49.02972,-122.79222,146.0,146,https://en.wikipedia.org/wiki/Peace_Arch_Hospital,https://en.wikipedia.org/wiki/Peace_Arch_Hospital
Fraser Health,Ridge Meadows Hospital,Maple Ridge,49.21556,-122.62917,148.0,148,https://en.wikipedia.org/wiki/Ridge_Meadows_Hospital,https://en.wikipedia.org/wiki/Ridge_Meadows_Hospital
Fraser Health,Royal Columbian Hospital,New Westminster,49.22639,-122.89028,675.0,675,https://en.wikipedia.org/wiki/Royal_Columbian_Hospital,https://en.wikipedia.org/wiki/Royal_Columbian_Hospital
Fraser Health,Surrey Memorial Hospital,Surrey,49.17611,-122.84167,650.0,650,https://en.wikipedia.org/wiki/Surrey_Memorial_Hospital,https://en.wikipedia.org/wiki/Surrey_Memorial_Hospital
Interior Health,100 Mile District General Hospital,100 Mile House,51.63833,-121.29139,,,,https://en.wikipedia.org/w/index.php?title=100_Mile_District_General_Hospital&action=edit&redlink=1
Interior Health,Arrow Lakes Hospital,Nakusp,50.23861,-117.795,6.0,6,https://en.wikipedia.org/wiki/Arrow_Lakes_Hospital,https://en.wikipedia.org/wiki/Arrow_Lakes_Hospital
Interior Health,Ashcroft and District Hospital General Hospital,Ashcroft,54.73722,-121.27139,,,,https://en.wikipedia.org/w/index.php?title=Ashcroft_and_District_Hospital_General_Hospital&action=edit&redlink=1
Interior Health,Boundary Hospital,Grand Forks,49.03,-118.46861,,,,https://en.wikipedia.org/w/index.php?title=Boundary_Hospital&action=edit&redlink=1
Interior Health,Cariboo Memorial Hospital,Williams Lake,52.13806,-122.14278,,,,https://en.wikipedia.org/w/index.php?title=Cariboo_Memorial_Hospital&action=edit&redlink=1
Interior Health,Creston Valley Hospital,Creston,49.09833,-116.50778,,,,https://en.wikipedia.org/w/index.php?title=Creston_Valley_Hospital&action=edit&redlink=1
Interior Health,Dr. Helmcken Memorial Hospital,Clearwater,51.64639,-120.01833,,,,"https://en.wikipedia.org/wiki/Clearwater,_British_Columbia#Healthcare"
Interior Health,East Kootenay Regional Hospital,Cranbrook,49.5125,-115.75,,,,https://en.wikipedia.org/wiki/East_Kootenay_Regional_Hospital
Interior Health,Elk Valley Hospital,Fernie,49.51361,-115.05667,,,,https://en.wikipedia.org/w/index.php?title=Elk_Valley_Hospital&action=edit&redlink=1
Interior Health,Golden and District General Hospital,Golden,51.29667,-116.96806,,,,https://en.wikipedia.org/w/index.php?title=Golden_and_District_General_Hospital&action=edit&redlink=1
Interior Health,Invermere and District Hospital,Invermere,50.50667,-116.03333,,,,https://en.wikipedia.org/w/index.php?title=Invermere_and_District_Hospital&action=edit&redlink=1
Interior Health,Kelowna General Hospital,Kelowna,49.87361,-119.49361,440.0,440 [ 1 ],https://en.wikipedia.org/wiki/Kelowna_General_Hospital,https://en.wikipedia.org/wiki/Kelowna_General_Hospital
Interior Health,Kootenay Boundary Regional Hospital,Trail,49.10306,-117.70167,,,,https://en.wikipedia.org/w/index.php?title=Kootenay_Boundary_Regional_Hospital&action=edit&redlink=1
Interior Health,Kootenay Lake Hospital,Nelson,49.495,-117.28472,,,,https://en.wikipedia.org/w/index.php?title=Kootenay_Lake_Hospital&action=edit&redlink=1
