Health Authority,Facility Name,Location City,Latitude,Longitude,Beds,Beds - notes/date,Beds Source URL
Fraser Health,Abbotsford Regional Hospital and Cancer Centre,Abbotsford,49.03917,-122.31083,300,"300 beds (Fraser Health hospital profile, 2025-01; Wikipedia infobox historically 280)",https://www.fraserhealth.ca/Service-Directory/Locations/Abbotsford/abbotsford-regional-hospital-and-cancer-centre
Fraser Health,Burnaby General Hospital,Burnaby,49.24944,-123.015,297,297 beds (BCHumanResource/Fraser Health stats c.2024; Wikipedia rounds 300),https://www.fraserhealth.ca/Service-Directory/Locations/Burnaby/burnaby-hospital
Fraser Health,Chilliwack General Hospital,Chilliwack,49.16639,-121.96278,169,169 beds (Fraser Health 2024-2025),https://www.fraserhealth.ca/Service-Directory/Locations/Chilliwack/chilliwack-general-hospital
Fraser Health,Delta Hospital,Delta,49.08556,-123.06111,64,"64 inpatient beds (acute) (Fraser Health site, 2024; Wikipedia previously 58 acute)",https://www.fraserhealth.ca/Service-Directory/Locations/Delta/delta-hospital
Fraser Health,Eagle Ridge Hospital,Port Moody,49.285,-122.82333,106,106 beds (ERH Foundation 2023),https://www.erhf.ca/
Fraser Health,Fraser Canyon Hospital,Hope,49.37611,-121.42333,10,"10 beds (Fraser Health site, 2024)",https://www.fraserhealth.ca/Service-Directory/Locations/Hope/fraser-canyon-hospital
Fraser Health,Jim Pattison Outpatient Care and Surgery Centre,Surrey,49.17944,-122.83306,,Outpatient facility (no inpatient beds),https://www.fraserhealth.ca/Service-Directory/Locations/Surrey/jim-pattison-outpatient-care-and-surgery-centre
Fraser Health,Langley Memorial Hospital,Langley,49.09361,-122.61194,188,"188 beds (LMH Foundation/Fraser Health, 2024)",https://www.lmhfoundation.com/
Fraser Health,Mission Memorial Hospital,Mission,49.135,-122.33083,25,"25 acute beds (Fraser Health site, 2024)",https://www.fraserhealth.ca/Service-Directory/Locations/Mission/mission-memorial-hospital
Fraser Health,Peace Arch Hospital,White Rock,49.02972,-122.79222,171,"171 beds (Fraser Health, c.2022; Wikipedia older value 146)",https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital
Fraser Health,Ridge Meadows Hospital,Maple Ridge,49.21556,-122.62917,125,"125 beds (RMH Foundation, 2023)",https://rmhfoundation.com/
